Control ID,Description,Bridging SCF Controls,Relevant SCG Controls
10.2.1.4,10.2.1.4 Audit logs capture all invalid logical access attempts.,"CFG-02, MON-03","esx-9.log-audit-local, esx-9.log-filter, esx-9.log-level, guest-9.tools-logs, networks-9.audit-identity, nsx-9.log-level, vcenter-9.logs-level-global, vcf-9.secure-baseline, vm-9.log-enable"
10.2.1.5,"10.2.1.5 Audit logs capture all changes to identification and authentication credentials including, but not limited to:
 • Creation of new accounts.
 • Elevation of privileges.
 • All changes, additions, or deletions to accounts with administrative access.","CFG-02, MON-03","esx-9.log-audit-local, esx-9.log-filter, esx-9.log-level, guest-9.tools-logs, networks-9.audit-identity, nsx-9.log-level, vcenter-9.logs-level-global, vcf-9.secure-baseline, vm-9.log-enable"
10.2.1.6,"10.2.1.6 Audit logs capture the following: 
 • All initialization of new audit logs, and 
 • All starting, stopping, or pausing of the existing audit logs.","CFG-02, MON-03","esx-9.log-audit-local, esx-9.log-filter, esx-9.log-level, guest-9.tools-logs, networks-9.audit-identity, nsx-9.log-level, vcenter-9.logs-level-global, vcf-9.secure-baseline, vm-9.log-enable"
10.2.1.7,10.2.1.7 Audit logs capture all creation and deletion of system-level objects.,"CFG-02, MON-03","esx-9.log-audit-local, esx-9.log-filter, esx-9.log-level, guest-9.tools-logs, networks-9.audit-identity, nsx-9.log-level, vcenter-9.logs-level-global, vcf-9.secure-baseline, vm-9.log-enable"
10.2.2,"10.2.2 Audit logs record the following details for each auditable event:
 • User identification.
 • Type of event.
 • Date and time.
 • Success and failure indication.
 • Origination of event.
 • Identity or name of affected data, system component, resource, or service (for example, name and protocol).","CFG-02, MON-03","esx-9.log-audit-local, esx-9.log-filter, esx-9.log-level, guest-9.tools-logs, networks-9.audit-identity, nsx-9.log-level, vcenter-9.logs-level-global, vcf-9.secure-baseline, vm-9.log-enable"
10.3,10.3 Audit logs are protected from destruction and unauthorized modifications.,MON-08,"esx-9.log-audit-persistent, esx-9.log-filter, esx-9.log-persistent, operations-9.logs-authenticated-ingestion"
10.3.1,10.3.1 Read access to audit logs files is limited to those with a job-related need.,MON-08,"esx-9.log-audit-persistent, esx-9.log-filter, esx-9.log-persistent, operations-9.logs-authenticated-ingestion"
10.3.2,10.3.2 Audit log files are protected to prevent modifications by individuals.,MON-08,"esx-9.log-audit-persistent, esx-9.log-filter, esx-9.log-persistent, operations-9.logs-authenticated-ingestion"
10.3.3,"10.3.3 Audit log files, including those for external-facing technologies, are promptly backed up to a secure, central, internal log server(s) or other media that is difficult to modify.","MON-02, MON-02.2","esx-9.hardware-management-log-forwarding, esx-9.log-audit-forwarding, esx-9.log-forwarding, guest-9.tools-log-forwarding, operations-9.log-collection, pnr-9.log-forwarding, vcenter-9.log-forwarding"
10.4,10.4 Audit logs are reviewed to identify anomalies or suspicious activity.,"MON-01.4, MON-02, MON-02.2","esx-9.cpu-hyperthread-warning, esx-9.hardware-management-log-forwarding, esx-9.log-audit-forwarding, esx-9.log-forwarding, esx-9.shell-warning, guest-9.tools-log-forwarding, operations-9.log-collection, pnr-9.log-forwarding, vcenter-9.log-forwarding"
10.4.1,"10.4.1 The following audit logs are reviewed at least once daily:
 • All security events. 
 • Logs of all system components that store, process, or transmit CHD and/or SAD.
 • Logs of all critical system components.
 • Logs of all servers and system components that perform security functions (for example, network security controls, intrusion-detection systems/intrusion-prevention systems (IDS/IPS), authentication servers).","MON-01.4, MON-02, MON-02.2","esx-9.cpu-hyperthread-warning, esx-9.hardware-management-log-forwarding, esx-9.log-audit-forwarding, esx-9.log-forwarding, esx-9.shell-warning, guest-9.tools-log-forwarding, operations-9.log-collection, pnr-9.log-forwarding, vcenter-9.log-forwarding"
10.4.1.1,"10.4.1.1 Automated mechanisms are used to perform audit log reviews.
 Applicability Notes
 This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment.","MON-01.4, MON-02, MON-02.2","esx-9.cpu-hyperthread-warning, esx-9.hardware-management-log-forwarding, esx-9.log-audit-forwarding, esx-9.log-forwarding, esx-9.shell-warning, guest-9.tools-log-forwarding, operations-9.log-collection, pnr-9.log-forwarding, vcenter-9.log-forwarding"
10.4.3,10.4.3 Exceptions and anomalies identified during the review process are addressed.,MON-01.4,"esx-9.cpu-hyperthread-warning, esx-9.shell-warning"
10.5,10.5 Audit log history is retained and available for analysis.,MON-10,"automation-9.activity-log, esx-9.log-audit-local-capacity, esx-9.log-audit-persistent, esx-9.log-persistent, operations-9.action-history-retention, operations-9.log-retention, vcenter-9.events-database-retention, vm-9.log-retention"
10.5.1,"10.5.1 Retain audit log history for at least 12 months, with at least the most recent three months immediately available for analysis.",MON-10,"automation-9.activity-log, esx-9.log-audit-local-capacity, esx-9.log-audit-persistent, esx-9.log-persistent, operations-9.action-history-retention, operations-9.log-retention, vcenter-9.events-database-retention, vm-9.log-retention"
10.6,10.6 Time-synchronization mechanisms support consistent time settings across all systems.,"CFG-02, MON-02.7, MON-07, MON-07.1, SEA-20","esx-9.hardware-management-time, esx-9.time, fleet-9.time, nsx-9.timezone-utc, pnr-9.time, vcenter-9.events-remote-logging, vcenter-9.time, vcf-9.secure-baseline"
